listing_id,host_name,room_type,description,borough,nbhood,last_review,price
2595,Jennifer,entire home/apt,Skylit Midtown Castle,Manhattan, Midtown,May 21 2019,225
3831,LisaRoxanne,entire home/apt,Cozy Entire Floor of Brownstone,Brooklyn, Clinton Hill,July 05 2019,89
5099,Chris,entire home/apt,Large Cozy 1 BR Apartment In Midtown East,Manhattan, Murray Hill,June 22 2019,200
5178,Shunichi,private room,Large Furnished Room Near B'way,Manhattan, Hell's Kitchen,June 24 2019,79
5238,Ben,entire home/apt,Cute & Cozy Lower East Side 1 bdrm,Manhattan, Chinatown,June 09 2019,150
5295,Lena,entire home/apt,Beautiful 1br on Upper West Side,Manhattan, Upper West Side,June 22 2019,135
5441,Kate,private room,Central Manhattan/near Broadway,Manhattan, Hell's Kitchen,June 23 2019,85
5803,Laurie,private room,"Lovely Room 1, Garden, Best Area, Legal rental",Brooklyn, South Slope,June 24 2019,89
6021,Claudio,private room,Wonderful Guest Bedroom in Manhattan for SINGLES,Manhattan, Upper West Side,July 05 2019,85
6848,Allen & Irina,entire home/apt,Only 2 stops to Manhattan studio,Brooklyn, Williamsburg,June 29 2019,140
7097,Jane,entire home/apt,Perfect for Your Parents + Garden,Brooklyn, Fort Greene,June 28 2019,215
7322,Doti,private room,Chelsea Perfect,Manhattan, Chelsea,July 01 2019,140
7726,Adam And Charity,entire home/apt,Hip Historic Brownstone Apartment with Backyard,Brooklyn, Crown Heights,June 22 2019,99
8024,Lisel,private room,CBG CtyBGd HelpsHaiti rm#1:1-4,Brooklyn, Park Slope,July 01 2019,130
8025,Lisel,private room,CBG Helps Haiti Room#2.5,Brooklyn, Park Slope,January 01 2019,80
8110,Lisel,private room,CBG Helps Haiti Rm #2,Brooklyn, Park Slope,July 02 2019,110
8490,Nathalie,entire home/apt,"MAISON DES SIRENES1,bohemian apartment",Brooklyn, Bedford-Stuyvesant,June 19 2019,120
8505,Gregory,private room,Sunny Bedroom Across Prospect Park,Brooklyn, Windsor Terrace,June 23 2019,60
9518,Shon,private room,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Manhattan, Inwood,June 15 2019,44
9657,Dana,entire home/apt,Modern 1 BR / NYC / EAST VILLAGE,Manhattan, East Village,April 19 2019,180
9668,Ssameer Or Trip,private room,front room/double bed,Manhattan, Harlem,June 01 2019,50
9704,Teri,private room,Spacious 1 bedroom in luxe building,Manhattan, Harlem,June 14 2019,52
9782,Andrea,private room,Loft in Williamsburg Area w/ Roof,Brooklyn, Greenpoint,June 15 2019,55
9783,Ssameer Or Trip,private room,back room/bunk beds,Manhattan, Harlem,July 01 2019,50
10452,Angela,private room,Large B&B Style rooms,Brooklyn, Bedford-Stuyvesant,May 12 2019,70
10962,Laurie,private room,"Lovely room 2 & garden; Best area, Legal rental",Brooklyn, South Slope,June 21 2019,89
11708,Tyrome,entire home/apt,Cute apt in artist's home,Brooklyn, Bushwick,June 22 2019,85
12048,Ben,shared room,LowerEastSide apt share shortterm 1,Manhattan, Lower East Side,July 05 2019,40
12192,Edward,private room,ENJOY Downtown NYC!,Manhattan, East Village,June 21 2019,68
12299,Abdul,entire home/apt,Beautiful Sunny Park Slope Brooklyn,Brooklyn, South Slope,May 27 2019,120
12318,Cyn,private room,West Side Retreat,Manhattan, Upper West Side,June 16 2019,135
12343,Earl,entire home/apt,BEST BET IN HARLEM,Manhattan, Harlem,June 13 2019,150
12627,Rana,entire home/apt,Entire apartment in central Brooklyn neighborhood.,Brooklyn, Prospect-Lefferts Gardens,June 05 2019,150
12937,Orestes,private room,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Queens, Long Island City,July 01 2019,130
12940,Adreinne,entire home/apt,Charming Brownstone 3 - Near PRATT,Brooklyn, Bedford-Stuyvesant,May 25 2019,110
13394,Alexander,private room,Fort Greene brownstone,Brooklyn, Fort Greene,June 17 2019,80
13808,JT And Tiziana,private room,Blue Room for 2 in Brownstone for $1350 monthly,Brooklyn, Bedford-Stuyvesant,June 16 2019,80
14287,Joya,entire home/apt,Cozy 1BD on Central Park West in New York City,Manhattan, Upper West Side,July 07 2019,151
14290,James,entire home/apt,* ORIGINAL BROOKLYN LOFT *,Brooklyn, Williamsburg,May 17 2019,228
14314,Jeanne,entire home/apt,Greenpoint Place...Has It All!,Brooklyn, Greenpoint,June 29 2019,144
14322,Francesca,entire home/apt,Beautiful Apartment in Manhattan!!!,Manhattan, Kips Bay,March 25 2019,200
14377,Joanna,entire home/apt,Williamsburg 1 bedroom Apartment,Brooklyn, Williamsburg,June 22 2019,150
14991,Bianca,private room,"Great Location, Manhattan Bedroom!",Manhattan, Lower East Side,May 18 2019,110
15220,Luiz,private room,Best Location in NYC! TIMES SQUARE!,Manhattan, Hell's Kitchen,June 09 2019,69
15338,Andrea,private room,Room in Greenpoint Loft w/ Roof,Brooklyn, Greenpoint,June 04 2019,49
15341,Ted,entire home/apt,**Bright Nolita Apt w Doorman/Elevators/Gym**,Manhattan, SoHo,June 29 2019,180
15385,Cristina,private room,"Very, very cozy place",Brooklyn, Williamsburg,June 30 2019,80
15711,D,entire home/apt,2 bedroom - Upper East Side-great for kids,Manhattan, Upper East Side,March 30 2019,250
16326,Dimitri,entire home/apt,Comfortable 4-bedroom apt in family house.,Brooklyn, Prospect Heights,January 26 2019,200
16421,Mark,private room,Your Heaven in Hells Kitchen,Manhattan, Hell's Kitchen,May 16 2019,52
16580,Reka,private room,"Sunny, Modern room in East Village!",Manhattan, East Village,July 01 2019,80
16595,Daniel,entire home/apt,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Brooklyn, Williamsburg,June 23 2019,275
16821,Casey,private room,Large Room in Amazing East Village Apt,Manhattan, East Village,June 21 2019,99
16974,Robin,entire home/apt,SpaHa Loft: Enormous and Bright,Manhattan, East Harlem,June 23 2019,225
17092,Enzo,private room,Cool Room in Hell's Kitchen,Manhattan, Hell's Kitchen,June 01 2019,51
17693,Tye And Etienne,private room,"HARLEM, NEW YORK WELCOMES YOU!!",Manhattan, Washington Heights,June 18 2019,65
17747,George,private room,BLUE TRIM GUEST HOUSE,Brooklyn, Clinton Hill,June 26 2019,105
18127,Josh,entire home/apt,Charming East Village One Bedroom Flat,Manhattan, East Village,January 02 2019,190
18152,Victoria,private room,Manhattan Room,Manhattan, Upper East Side,July 09 2019,200
18198,Justin,private room,Little King of Queens,Queens, Woodside,May 31 2019,70
18590,Blaise,private room,Fort Greene Retreat on the Park,Brooklyn, Fort Greene,June 16 2019,95
18728,DAVID And RICK,private room,Beautiful Meatpacking District Loft,Manhattan, Chelsea,May 28 2019,150
18764,Lulú,private room,Cozy 2 BR in Williamsburg,Brooklyn, Williamsburg,April 22 2019,145
19159,Sybilla,entire home/apt,Spacious luminous apt Upper West NYC,Manhattan, Harlem,March 23 2019,110
19169,JoLynn,entire home/apt,Entire 2 Bedroom - Large & Sunny,Manhattan, Lower East Side,June 30 2019,285
19282,Gaia,entire home/apt,"Sunny, Spacious Top Floor Haven",Brooklyn, Flatbush,June 15 2019,130
19319,Ana,private room,Private room Great Deal at Lower East Side,Manhattan, Lower East Side,April 08 2019,94
20299,Edward,private room,Oh glorious spring!,Manhattan, East Village,June 30 2019,60
20611,Lulú,private room,Cozy Bedroom in Williamsburg 3 BR,Brooklyn, Williamsburg,June 22 2019,85
20724,Augustin,private room,Sunny room+Pvte office in huge loft,Brooklyn, Bushwick,May 26 2019,65
20734,Sean & Lynette,entire home/apt,Spacious Prospect Heights Apartment,Brooklyn, Prospect Heights,June 27 2019,131
20755,Erica,private room,"Large Parlor Room, Landmark Home 1 block to PRATT",Brooklyn, Clinton Hill,May 31 2019,98
20853,Tracy,entire home/apt,2-bed brownstone duplex + garden,Brooklyn, Prospect Heights,May 21 2019,250
21293,Tyrome,entire home/apt,Sunny Apartment in Artist Home,Brooklyn, Bushwick,June 18 2019,105
21456,Dana,entire home/apt,Light-filled classic Central Park,Manhattan, Upper West Side,July 07 2019,140
21794,Olan,private room,COZY QUIET room 4 DOOGLERS!,Manhattan, Chelsea,May 01 2019,98
22918,Ssameer Or Trip,private room,loft bed - near transportation-15min to times sq,Manhattan, Harlem,January 03 2019,60
23135,Annette,entire home/apt,House On Henry (3rd FLR Suite),Brooklyn, Carroll Gardens,June 24 2019,175
24143,Seth,private room,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",Brooklyn, Williamsburg,May 29 2019,101
25235,Shelly,entire home/apt,Large 2 Bedroom Great for Groups!,Brooklyn, Bedford-Stuyvesant,June 28 2019,125
25696,Dena,private room,"1,800 sq foot in luxury building",Manhattan, Harlem,June 23 2019,100
26362,Luiz,private room,"Times Square, Safe, Clean and Cozy!",Manhattan, Hell's Kitchen,June 16 2019,59
26520,Erica,private room,"Cozy Room #3, Landmark Home 1 Block to PRATT",Brooklyn, Clinton Hill,June 02 2019,125
26969,Alexandra,entire home/apt,2 story family home in Williamsburg,Brooklyn, Williamsburg,June 23 2019,325
27006,Stacy,entire home/apt,Comfortable UWS 2-BD Family-Friendly Brownstone,Manhattan, Upper West Side,April 27 2019,235
27385,Bruce,entire home/apt,Great Large 1 BR apt  in East Village!,Manhattan, East Village,June 07 2019,225
27531,Evelyn,private room,Eveland Private Bed & Living Room w/ Own Entrance,Brooklyn, South Slope,May 20 2019,99
27644,Emma,entire home/apt,Sugar Hill Rest Stop,Manhattan, Harlem,July 01 2019,170
27759,Sylvie,entire home/apt,apartment next to Central park,Manhattan, Upper West Side,June 26 2019,170
29013,Angela,private room,B & B Room 1,Brooklyn, Bedford-Stuyvesant,May 14 2019,70
29455,Laurine,entire home/apt,ACCOMMODATIONS GALORE #1,Manhattan, Harlem,June 20 2019,120
29628,Chris,private room,Sunny Room in New Condo,Brooklyn, Clinton Hill,July 03 2019,89
29683,Uli,entire home/apt,Stylish & Sleek Apartment Near SoHo!,Manhattan, East Village,June 25 2019,185
30031,Sol,private room,NYC artists‚Äô loft with roof deck,Brooklyn, Greenpoint,May 20 2019,50
